"","year","Cropland Fraction","source","ISO3_code","Country"
"59",2019,"0.90558111097889","Rasmus","AUT","Austria"
"60",2000,"0.598318578198121","Rasmus","BEL","Belgium"
"61",2001,"0.587458095307904","Rasmus","BEL","Belgium"
"62",2002,"0.576853787013841","Rasmus","BEL","Belgium"
"63",2003,"0.575756168740038","Rasmus","BEL","Belgium"
"64",2004,"0.582074787278543","Rasmus","BEL","Belgium"
"65",2005,"0.587926317855452","Rasmus","BEL","Belgium"
"66",2006,"0.587063569158087","Rasmus","BEL","Belgium"
"67",2007,"0.590623806711373","Rasmus","BEL","Belgium"
"68",2008,"0.5972930506134","Rasmus","BEL","Belgium"
"69",2009,"0.595300517731427","Rasmus","BEL","Belgium"
"70",2010,"0.594606663490371","Rasmus","BEL","Belgium"
"71",2011,"0.597417107520825","Rasmus","BEL","Belgium"
"72",2012,"0.582392580500845","Rasmus","BEL","Belgium"
"73",2013,"0.590517474894573","Rasmus","BEL","Belgium"
"74",2014,"0.593829704240579","Rasmus","BEL","Belgium"
"75",2015,"0.601554854820796","Rasmus","BEL","Belgium"
"76",2016,"0.609271835921133","Rasmus","BEL","Belgium"
"77",2017,"0.611359686071052","Rasmus","BEL","Belgium"
"78",2018,"0.605624880376533","Rasmus","BEL","Belgium"
"79",2019,"0.607586757992908","Rasmus","BEL","Belgium"
"139",1961,"1","Rasmus","BGR","Bulgaria"
"140",1962,"1","Rasmus","BGR","Bulgaria"
"141",1963,"1","Rasmus","BGR","Bulgaria"
"142",1964,"1","Rasmus","BGR","Bulgaria"
"143",1965,"1","Rasmus","BGR","Bulgaria"
"144",1966,"1","Rasmus","BGR","Bulgaria"
"145",1967,"1","Rasmus","BGR","Bulgaria"
"146",1968,"1","Rasmus","BGR","Bulgaria"
"147",1969,"1","Rasmus","BGR","Bulgaria"
"148",1970,"1","Rasmus","BGR","Bulgaria"
"149",1971,"1","Rasmus","BGR","Bulgaria"
"150",1972,"1","Rasmus","BGR","Bulgaria"
"151",1973,"1","Rasmus","BGR","Bulgaria"
"152",1974,"1","Rasmus","BGR","Bulgaria"
"153",1975,"1","Rasmus","BGR","Bulgaria"
"154",1976,"1","Rasmus","BGR","Bulgaria"
"155",1977,"1","Rasmus","BGR","Bulgaria"
"156",1978,"1","Rasmus","BGR","Bulgaria"
"157",1979,"1","Rasmus","BGR","Bulgaria"
"158",1980,"1","Rasmus","BGR","Bulgaria"
"159",1981,"1","Rasmus","BGR","Bulgaria"
"160",1982,"1","Rasmus","BGR","Bulgaria"
"161",1983,"1","Rasmus","BGR","Bulgaria"
"162",1984,"1","Rasmus","BGR","Bulgaria"
"163",1985,"1","Rasmus","BGR","Bulgaria"
"164",1986,"1","Rasmus","BGR","Bulgaria"
"165",1987,"1","Rasmus","BGR","Bulgaria"
"166",1988,"1","Rasmus","BGR","Bulgaria"
"167",1989,"1","Rasmus","BGR","Bulgaria"
"168",1990,"1","Rasmus","BGR","Bulgaria"
"169",1991,"1","Rasmus","BGR","Bulgaria"
"170",1992,"1","Rasmus","BGR","Bulgaria"
"171",1993,"1","Rasmus","BGR","Bulgaria"
"172",1994,"1","Rasmus","BGR","Bulgaria"
"173",1995,"1","Rasmus","BGR","Bulgaria"
"174",1996,"1","Rasmus","BGR","Bulgaria"
"175",1997,"1","Rasmus","BGR","Bulgaria"
"176",1998,"1","Rasmus","BGR","Bulgaria"
"177",1999,"1","Rasmus","BGR","Bulgaria"
"178",2000,"1","Rasmus","BGR","Bulgaria"
"179",2001,"1","Rasmus","BGR","Bulgaria"
"180",2002,"1","Rasmus","BGR","Bulgaria"
"181",2003,"1","Rasmus","BGR","Bulgaria"
"182",2004,"1","Rasmus","BGR","Bulgaria"
"183",2005,"1","Rasmus","BGR","Bulgaria"
"184",2006,"1","Rasmus","BGR","Bulgaria"
"185",2007,"1","Rasmus","BGR","Bulgaria"
"186",2008,"1","Rasmus","BGR","Bulgaria"
"187",2009,"1","Rasmus","BGR","Bulgaria"
"188",2010,"1","Rasmus","BGR","Bulgaria"
"189",2011,"1","Rasmus","BGR","Bulgaria"
"190",2012,"1","Rasmus","BGR","Bulgaria"
"191",2013,"1","Rasmus","BGR","Bulgaria"
"192",2014,"1","Rasmus","BGR","Bulgaria"
"193",2015,"1","Rasmus","BGR","Bulgaria"
"194",2016,"1","Rasmus","BGR","Bulgaria"
"195",2017,"1","Rasmus","BGR","Bulgaria"
"196",2018,"1","Rasmus","BGR","Bulgaria"
"197",2019,"1","Rasmus","BGR","Bulgaria"
"198",1992,"1","Rasmus","HRV","Croatia"
"199",1993,"1","Rasmus","HRV","Croatia"
"200",1994,"1","Rasmus","HRV","Croatia"
"201",1995,"1","Rasmus","HRV","Croatia"
"202",1996,"1","Rasmus","HRV","Croatia"
"203",1997,"1","Rasmus","HRV","Croatia"
"204",1998,"1","Rasmus","HRV","Croatia"
"205",1999,"1","Rasmus","HRV","Croatia"
"206",2000,"1","Rasmus","HRV","Croatia"
"207",2001,"1","Rasmus","HRV","Croatia"
"208",2002,"1","Rasmus","HRV","Croatia"
"209",2003,"1","Rasmus","HRV","Croatia"
"210",2004,"1","Rasmus","HRV","Croatia"
"211",2005,"1","Rasmus","HRV","Croatia"
"212",2006,"1","Rasmus","HRV","Croatia"
"213",2007,"1","Rasmus","HRV","Croatia"
"214",2008,"1","Rasmus","HRV","Croatia"
"215",2009,"1","Rasmus","HRV","Croatia"
"216",2010,"1","Rasmus","HRV","Croatia"
"217",2011,"1","Rasmus","HRV","Croatia"
"218",2012,"1","Rasmus","HRV","Croatia"
"219",2013,"1","Rasmus","HRV","Croatia"
"220",2014,"1","Rasmus","HRV","Croatia"
"221",2015,"1","Rasmus","HRV","Croatia"
"222",2016,"1","Rasmus","HRV","Croatia"
"223",2017,"1","Rasmus","HRV","Croatia"
"224",2018,"1","Rasmus","HRV","Croatia"
"225",2019,"1","Rasmus","HRV","Croatia"
"226",1993,"0.96829623347762","Rasmus","CZE","Czechia"
"227",1994,"0.967394589070654","Rasmus","CZE","Czechia"
"228",1995,"0.966675729863649","Rasmus","CZE","Czechia"
"229",1996,"0.964813884520288","Rasmus","CZE","Czechia"
"230",1997,"0.964475801185223","Rasmus","CZE","Czechia"
"231",1998,"0.964584884839829","Rasmus","CZE","Czechia"
"232",1999,"0.964671409547041","Rasmus","CZE","Czechia"
"233",2000,"0.96382959993448","Rasmus","CZE","Czechia"
"234",2001,"0.968768389730036","Rasmus","CZE","Czechia"
"235",2002,"0.972372392150824","Rasmus","CZE","Czechia"
"236",2003,"0.978128057522328","Rasmus","CZE","Czechia"
"237",2004,"0.985819595852792","Rasmus","CZE","Czechia"
"238",2005,"0.992830266547166","Rasmus","CZE","Czechia"
"239",2006,"1","Rasmus","CZE","Czechia"
"240",2007,"1","Rasmus","CZE","Czechia"
"241",2008,"1","Rasmus","CZE","Czechia"
"242",2009,"1","Rasmus","CZE","Czechia"
"243",2010,"1","Rasmus","CZE","Czechia"
"244",2011,"1","Rasmus","CZE","Czechia"
"245",2012,"1","Rasmus","CZE","Czechia"
"246",2013,"1","Rasmus","CZE","Czechia"
"247",2014,"1","Rasmus","CZE","Czechia"
"248",2015,"1","Rasmus","CZE","Czechia"
"249",2016,"1","Rasmus","CZE","Czechia"
"250",2017,"1","Rasmus","CZE","Czechia"
"251",2018,"1","Rasmus","CZE","Czechia"
"252",2019,"1","Rasmus","CZE","Czechia"
"253",1961,"0.941992541479525","Rasmus","DNK","Denmark"
"254",1962,"0.93893558926008","Rasmus","DNK","Denmark"
"255",1963,"0.942688927827965","Rasmus","DNK","Denmark"
"256",1964,"0.942907011819289","Rasmus","DNK","Denmark"
"257",1965,"0.94262952399589","Rasmus","DNK","Denmark"
"258",1966,"0.942194249515197","Rasmus","DNK","Denmark"
"259",1967,"0.93758645867108","Rasmus","DNK","Denmark"
"260",1968,"0.935836512119534","Rasmus","DNK","Denmark"
"261",1969,"0.932701433367327","Rasmus","DNK","Denmark"
"262",1970,"0.927420917543673","Rasmus","DNK","Denmark"
"263",1971,"0.924350523550296","Rasmus","DNK","Denmark"
"264",1972,"0.919897936981991","Rasmus","DNK","Denmark"
"265",1973,"0.908261509917157","Rasmus","DNK","Denmark"
"266",1974,"0.914359827307518","Rasmus","DNK","Denmark"
"267",1975,"0.91035409650532","Rasmus","DNK","Denmark"
"268",1976,"0.910473593067161","Rasmus","DNK","Denmark"
"269",1977,"0.901857362796105","Rasmus","DNK","Denmark"
"270",1978,"0.901283081207861","Rasmus","DNK","Denmark"
"271",1979,"0.89884243953076","Rasmus","DNK","Denmark"
"272",1980,"0.898957497995188","Rasmus","DNK","Denmark"
"273",1981,"0.900259790217894","Rasmus","DNK","Denmark"
"274",1982,"0.900281436342394","Rasmus","DNK","Denmark"
"275",1983,"0.900490997358318","Rasmus","DNK","Denmark"
"276",1984,"0.904577708674717","Rasmus","DNK","Denmark"
"277",1985,"0.905903282090565","Rasmus","DNK","Denmark"
"278",1986,"0.90705894296334","Rasmus","DNK","Denmark"
"279",1987,"0.907288035037897","Rasmus","DNK","Denmark"
"280",1988,"0.90336690171955","Rasmus","DNK","Denmark"
"281",1989,"0.90091976907373","Rasmus","DNK","Denmark"
"282",1990,"0.902627838562901","Rasmus","DNK","Denmark"
"283",1991,"0.903738704021178","Rasmus","DNK","Denmark"
"284",1992,"0.903929372477144","Rasmus","DNK","Denmark"
"285",1993,"0.901482154192058","Rasmus","DNK","Denmark"
"286",1994,"0.866094376526707","Rasmus","DNK","Denmark"
"287",1995,"0.860103360299141","Rasmus","DNK","Denmark"
"288",1996,"0.889399212738349","Rasmus","DNK","Denmark"
"289",1997,"0.919717780287986","Rasmus","DNK","Denmark"
"290",1998,"0.935403186906312","Rasmus","DNK","Denmark"
"291",1999,"0.937117949017706","Rasmus","DNK","Denmark"
"292",2000,"0.945607466996941","Rasmus","DNK","Denmark"
"293",2001,"0.94316875369948","Rasmus","DNK","Denmark"
"294",2002,"0.94237789251551","Rasmus","DNK","Denmark"
"295",2003,"0.941646403730179","Rasmus","DNK","Denmark"
"296",2004,"0.94408040868745","Rasmus","DNK","Denmark"
"297",2005,"0.945489153007747","Rasmus","DNK","Denmark"
"298",2006,"0.946905091413034","Rasmus","DNK","Denmark"
"299",2007,"0.947952105373124","Rasmus","DNK","Denmark"
"300",2008,"0.962260262063379","Rasmus","DNK","Denmark"
"301",2009,"0.97139892086043","Rasmus","DNK","Denmark"
"302",2010,"0.971451481975174","Rasmus","DNK","Denmark"
"303",2011,"0.972941021422939","Rasmus","DNK","Denmark"
"304",2012,"0.970775867280254","Rasmus","DNK","Denmark"
"305",2013,"0.971335597020479","Rasmus","DNK","Denmark"
"306",2014,"0.971586301179504","Rasmus","DNK","Denmark"
"307",2015,"0.962238499880417","Rasmus","DNK","Denmark"
"308",2016,"0.966390964265302","Rasmus","DNK","Denmark"
"309",2017,"0.965046525577284","Rasmus","DNK","Denmark"
"310",2018,"0.967485827958481","Rasmus","DNK","Denmark"
"311",2019,"0.967436452068585","Rasmus","DNK","Denmark"
"312",1992,"1","Rasmus","EST","Estonia"
"313",1993,"1","Rasmus","EST","Estonia"
"314",1994,"1","Rasmus","EST","Estonia"
"315",1995,"1","Rasmus","EST","Estonia"
"316",1996,"1","Rasmus","EST","Estonia"
"317",1997,"1","Rasmus","EST","Estonia"
"318",1998,"1","Rasmus","EST","Estonia"
"319",1999,"1","Rasmus","EST","Estonia"
"320",2000,"1","Rasmus","EST","Estonia"
"321",2001,"1","Rasmus","EST","Estonia"
"322",2002,"1","Rasmus","EST","Estonia"
"323",2003,"1","Rasmus","EST","Estonia"
"324",2004,"1","Rasmus","EST","Estonia"
"325",2005,"1","Rasmus","EST","Estonia"
"326",2006,"1","Rasmus","EST","Estonia"
"327",2007,"1","Rasmus","EST","Estonia"
"328",2008,"1","Rasmus","EST","Estonia"
"329",2009,"1","Rasmus","EST","Estonia"
"330",2010,"1","Rasmus","EST","Estonia"
"331",2011,"1","Rasmus","EST","Estonia"
"332",2012,"1","Rasmus","EST","Estonia"
"333",2013,"1","Rasmus","EST","Estonia"
"334",2014,"1","Rasmus","EST","Estonia"
"335",2015,"1","Rasmus","EST","Estonia"
"336",2016,"1","Rasmus","EST","Estonia"
"337",2017,"1","Rasmus","EST","Estonia"
"338",2018,"1","Rasmus","EST","Estonia"
"339",2019,"1","Rasmus","EST","Estonia"
"340",1961,"1","Rasmus","FIN","Finland"
"341",1962,"1","Rasmus","FIN","Finland"
"342",1963,"1","Rasmus","FIN","Finland"
"343",1964,"1","Rasmus","FIN","Finland"
"344",1965,"1","Rasmus","FIN","Finland"
"345",1966,"1","Rasmus","FIN","Finland"
"346",1967,"1","Rasmus","FIN","Finland"
"347",1968,"1","Rasmus","FIN","Finland"
"348",1969,"1","Rasmus","FIN","Finland"
"349",1970,"1","Rasmus","FIN","Finland"
"350",1971,"1","Rasmus","FIN","Finland"
"351",1972,"1","Rasmus","FIN","Finland"
"352",1973,"1","Rasmus","FIN","Finland"
"353",1974,"1","Rasmus","FIN","Finland"
"354",1975,"1","Rasmus","FIN","Finland"
"355",1976,"1","Rasmus","FIN","Finland"
"356",1977,"1","Rasmus","FIN","Finland"
"357",1978,"1","Rasmus","FIN","Finland"
"358",1979,"1","Rasmus","FIN","Finland"
"359",1980,"1","Rasmus","FIN","Finland"
"360",1981,"1","Rasmus","FIN","Finland"
"361",1982,"1","Rasmus","FIN","Finland"
"362",1983,"1","Rasmus","FIN","Finland"
"363",1984,"1","Rasmus","FIN","Finland"
"364",1985,"1","Rasmus","FIN","Finland"
"365",1986,"1","Rasmus","FIN","Finland"
"366",1987,"1","Rasmus","FIN","Finland"
"367",1988,"1","Rasmus","FIN","Finland"
"368",1989,"1","Rasmus","FIN","Finland"
"369",1990,"1","Rasmus","FIN","Finland"
"370",1991,"1","Rasmus","FIN","Finland"
"371",1992,"1","Rasmus","FIN","Finland"
"372",1993,"1","Rasmus","FIN","Finland"
"373",1994,"1","Rasmus","FIN","Finland"
"374",1995,"1","Rasmus","FIN","Finland"
"375",1996,"1","Rasmus","FIN","Finland"
"376",1997,"1","Rasmus","FIN","Finland"
"377",1998,"1","Rasmus","FIN","Finland"
"378",1999,"1","Rasmus","FIN","Finland"
"379",2000,"1","Rasmus","FIN","Finland"
"380",2001,"1","Rasmus","FIN","Finland"
"381",2002,"1","Rasmus","FIN","Finland"
"382",2003,"1","Rasmus","FIN","Finland"
"383",2004,"1","Rasmus","FIN","Finland"
"384",2005,"1","Rasmus","FIN","Finland"
"385",2006,"1","Rasmus","FIN","Finland"
"386",2007,"1","Rasmus","FIN","Finland"
"387",2008,"1","Rasmus","FIN","Finland"
"388",2009,"1","Rasmus","FIN","Finland"
"389",2010,"1","Rasmus","FIN","Finland"
"390",2011,"1","Rasmus","FIN","Finland"
"391",2012,"1","Rasmus","FIN","Finland"
"392",2013,"1","Rasmus","FIN","Finland"
"393",2014,"1","Rasmus","FIN","Finland"
"394",2015,"1","Rasmus","FIN","Finland"
"395",2016,"1","Rasmus","FIN","Finland"
"396",2017,"1","Rasmus","FIN","Finland"
"397",2018,"1","Rasmus","FIN","Finland"
"398",2019,"1","Rasmus","FIN","Finland"
"545",1961,"0.938958914138368","Rasmus","FRA","France"
"546",1962,"0.939445096389574","Rasmus","FRA","France"
"547",1963,"0.93896618947788","Rasmus","FRA","France"
"548",1964,"0.937204608077368","Rasmus","FRA","France"
"549",1965,"0.935699896887854","Rasmus","FRA","France"
"550",1966,"0.931193620205852","Rasmus","FRA","France"
"551",1967,"0.926361697679762","Rasmus","FRA","France"
"552",1968,"0.921957779587832","Rasmus","FRA","France"
"553",1969,"0.918770858232145","Rasmus","FRA","France"
"554",1970,"0.916924115272095","Rasmus","FRA","France"
"555",1971,"0.906659337455443","Rasmus","FRA","France"
"556",1972,"0.89963180641972","Rasmus","FRA","France"
"557",1973,"0.893606685647077","Rasmus","FRA","France"
"558",1974,"0.888953414334566","Rasmus","FRA","France"
"559",1975,"0.879741479644692","Rasmus","FRA","France"
"560",1976,"0.869753107004365","Rasmus","FRA","France"
"561",1977,"0.862411359700844","Rasmus","FRA","France"
"562",1978,"0.854661742832337","Rasmus","FRA","France"
"563",1979,"0.847112190762022","Rasmus","FRA","France"
"564",1980,"0.83963770783818","Rasmus","FRA","France"
"565",1981,"0.83320739039075","Rasmus","FRA","France"
"566",1982,"0.83555016127666","Rasmus","FRA","France"
"567",1983,"0.836458207755323","Rasmus","FRA","France"
"568",1984,"0.839161577541942","Rasmus","FRA","France"
"569",1985,"0.841573909658468","Rasmus","FRA","France"
"570",1986,"0.84311944510129","Rasmus","FRA","France"
"571",1987,"0.846321092786852","Rasmus","FRA","France"
"572",1988,"0.844785540377822","Rasmus","FRA","France"
"573",1989,"0.843517948222173","Rasmus","FRA","France"
"574",1990,"0.839109158807646","Rasmus","FRA","France"
"575",1991,"0.833296103074394","Rasmus","FRA","France"
"576",1992,"0.826230100025533","Rasmus","FRA","France"
"577",1993,"0.813717243710207","Rasmus","FRA","France"
"578",1994,"0.81460733731345","Rasmus","FRA","France"
"579",1995,"0.817549759004008","Rasmus","FRA","France"
"580",1996,"0.820501935765769","Rasmus","FRA","France"
"581",1997,"0.824659580654753","Rasmus","FRA","France"
"582",1998,"0.829681158073522","Rasmus","FRA","France"
"583",1999,"0.832219800110862","Rasmus","FRA","France"
"584",2000,"0.836560344997616","Rasmus","FRA","France"
"585",2001,"0.841698352325987","Rasmus","FRA","France"
"586",2002,"0.848934525773878","Rasmus","FRA","France"
"587",2003,"0.854521970687866","Rasmus","FRA","France"
"588",2004,"0.861319111641754","Rasmus","FRA","France"
"589",2005,"0.86133306939212","Rasmus","FRA","France"
"590",2006,"0.86261874927233","Rasmus","FRA","France"
"591",2007,"0.875732793311916","Rasmus","FRA","France"
"592",2008,"0.892531866929208","Rasmus","FRA","France"
"593",2009,"0.895501295705909","Rasmus","FRA","France"
"594",2010,"0.901314946333984","Rasmus","FRA","France"
"595",2011,"0.902411799177096","Rasmus","FRA","France"
"596",2012,"0.906207200863628","Rasmus","FRA","France"
"597",2013,"0.919037856347526","Rasmus","FRA","France"
"598",2014,"0.930405536090385","Rasmus","FRA","France"
"599",2015,"0.932065157154644","Rasmus","FRA","France"
"600",2016,"0.931088497706935","Rasmus","FRA","France"
"601",2017,"0.931928298541981","Rasmus","FRA","France"
"602",2018,"0.928040133776445","Rasmus","FRA","France"
"603",2019,"0.928044041248945","Rasmus","FRA","France"
"604",1961,"0.913363989268658","Rasmus","DEU","Germany"
"605",1962,"0.912550604702973","Rasmus","DEU","Germany"
"606",1963,"0.911933027183883","Rasmus","DEU","Germany"
"607",1964,"0.911229567000511","Rasmus","DEU","Germany"
"608",1965,"0.90904551102827","Rasmus","DEU","Germany"
"609",1966,"0.862330847707415","Rasmus","DEU","Germany"
"610",1967,"0.821242019204805","Rasmus","DEU","Germany"
"611",1968,"0.784727103324233","Rasmus","DEU","Germany"
"612",1969,"0.750696493579907","Rasmus","DEU","Germany"
"613",1970,"0.722902711653895","Rasmus","DEU","Germany"
"614",1971,"0.697100363040169","Rasmus","DEU","Germany"
"615",1972,"0.705045089309677","Rasmus","DEU","Germany"
"616",1973,"0.712909713447961","Rasmus","DEU","Germany"
"617",1974,"0.722751939251847","Rasmus","DEU","Germany"
"618",1975,"0.730948182798829","Rasmus","DEU","Germany"
"619",1976,"0.739746595255186","Rasmus","DEU","Germany"
"620",1977,"0.748329653690171","Rasmus","DEU","Germany"
"621",1978,"0.756403929550237","Rasmus","DEU","Germany"
"622",1979,"0.761283537818525","Rasmus","DEU","Germany"
"623",1980,"0.759617286338906","Rasmus","DEU","Germany"
"624",1981,"0.758384800311715","Rasmus","DEU","Germany"
"625",1982,"0.755146924891555","Rasmus","DEU","Germany"
"626",1983,"0.753432542704003","Rasmus","DEU","Germany"
"627",1984,"0.752669318838684","Rasmus","DEU","Germany"
"628",1985,"0.750354676489307","Rasmus","DEU","Germany"
"629",1986,"0.748279956237868","Rasmus","DEU","Germany"
"630",1987,"0.747139138011241","Rasmus","DEU","Germany"
"631",1988,"0.743338203467984","Rasmus","DEU","Germany"
"632",1989,"0.740505940375161","Rasmus","DEU","Germany"
"633",1990,"0.737251533182957","Rasmus","DEU","Germany"
"634",1991,"0.729752694885609","Rasmus","DEU","Germany"
"635",1992,"0.730739571630452","Rasmus","DEU","Germany"
"636",1993,"0.719515831781874","Rasmus","DEU","Germany"
"637",1994,"0.725052865110083","Rasmus","DEU","Germany"
"638",1995,"0.738419533101532","Rasmus","DEU","Germany"
"639",1996,"0.747765650461925","Rasmus","DEU","Germany"
"640",1997,"0.749579401137453","Rasmus","DEU","Germany"
"641",1998,"0.747979415733433","Rasmus","DEU","Germany"
"642",1999,"0.741670708970144","Rasmus","DEU","Germany"
"643",2000,"0.742426881782683","Rasmus","DEU","Germany"
"644",2001,"0.751602323061522","Rasmus","DEU","Germany"
"645",2002,"0.76159152335532","Rasmus","DEU","Germany"
"646",2003,"0.77039189099302","Rasmus","DEU","Germany"
"647",2004,"0.785605059037625","Rasmus","DEU","Germany"
"648",2005,"0.795374592836868","Rasmus","DEU","Germany"
"649",2006,"0.807652617956982","Rasmus","DEU","Germany"
"650",2007,"0.809346605882135","Rasmus","DEU","Germany"
"651",2008,"0.817099324151053","Rasmus","DEU","Germany"
"652",2009,"0.819663328214222","Rasmus","DEU","Germany"
"653",2010,"0.820863972053463","Rasmus","DEU","Germany"
"654",2011,"0.821699074160041","Rasmus","DEU","Germany"
"655",2012,"0.822553766275829","Rasmus","DEU","Germany"
"656",2013,"0.823598511514992","Rasmus","DEU","Germany"
"657",2014,"0.822567242906521","Rasmus","DEU","Germany"
"658",2015,"0.819656778344079","Rasmus","DEU","Germany"
"659",2016,"0.818567610331333","Rasmus","DEU","Germany"
"660",2017,"0.817450967775728","Rasmus","DEU","Germany"
"661",2018,"0.815724842838781","Rasmus","DEU","Germany"
"662",2019,"0.815470536327414","Rasmus","DEU","Germany"
"663",1961,"1","Rasmus","GRC","Greece"
"664",1962,"1","Rasmus","GRC","Greece"
"665",1963,"1","Rasmus","GRC","Greece"
"666",1964,"1","Rasmus","GRC","Greece"
"667",1965,"1","Rasmus","GRC","Greece"
"668",1966,"1","Rasmus","GRC","Greece"
"669",1967,"1","Rasmus","GRC","Greece"
"670",1968,"1","Rasmus","GRC","Greece"
"671",1969,"1","Rasmus","GRC","Greece"
"672",1970,"1","Rasmus","GRC","Greece"
"673",1971,"1","Rasmus","GRC","Greece"
"674",1972,"1","Rasmus","GRC","Greece"
"675",1973,"1","Rasmus","GRC","Greece"
"676",1974,"1","Rasmus","GRC","Greece"
"677",1975,"1","Rasmus","GRC","Greece"
"678",1976,"1","Rasmus","GRC","Greece"
"679",1977,"1","Rasmus","GRC","Greece"
"680",1978,"1","Rasmus","GRC","Greece"
"681",1979,"1","Rasmus","GRC","Greece"
"682",1980,"1","Rasmus","GRC","Greece"
"683",1981,"1","Rasmus","GRC","Greece"
"684",1982,"1","Rasmus","GRC","Greece"
"685",1983,"1","Rasmus","GRC","Greece"
"686",1984,"1","Rasmus","GRC","Greece"
"687",1985,"1","Rasmus","GRC","Greece"
"688",1986,"1","Rasmus","GRC","Greece"
"689",1987,"1","Rasmus","GRC","Greece"
"690",1988,"1","Rasmus","GRC","Greece"
"691",1989,"1","Rasmus","GRC","Greece"
"692",1990,"1","Rasmus","GRC","Greece"
"693",1991,"1","Rasmus","GRC","Greece"
"694",1992,"1","Rasmus","GRC","Greece"
"695",1993,"1","Rasmus","GRC","Greece"
"696",1994,"1","Rasmus","GRC","Greece"
"697",1995,"1","Rasmus","GRC","Greece"
"698",1996,"1","Rasmus","GRC","Greece"
"699",1997,"1","Rasmus","GRC","Greece"
"700",1998,"1","Rasmus","GRC","Greece"
"701",1999,"1","Rasmus","GRC","Greece"
"702",2000,"1","Rasmus","GRC","Greece"
"703",2001,"1","Rasmus","GRC","Greece"
"704",2002,"1","Rasmus","GRC","Greece"
"705",2003,"1","Rasmus","GRC","Greece"
"706",2004,"1","Rasmus","GRC","Greece"
"707",2005,"1","Rasmus","GRC","Greece"
"708",2006,"1","Rasmus","GRC","Greece"
"709",2007,"1","Rasmus","GRC","Greece"
"710",2008,"1","Rasmus","GRC","Greece"
